,Accommodation and food services ,Accommodation and food services ,Accommodation and food services ,Construction ,Construction ,Construction ,Educational services ,Educational services ,Educational services ,Health care and social assistance ,Health care and social assistance ,Health care and social assistance ,Manufacturing ,Manufacturing ,Manufacturing ,Other services (except public administration) ,Other services (except public administration) ,Other services (except public administration) ,"Professional, scientific and technical services ","Professional, scientific and technical services ","Professional, scientific and technical services ",Public administration ,Public administration ,Public administration ,Transportation and warehousing ,Transportation and warehousing ,Transportation and warehousing ,Utilities ,Utilities ,Utilities 
2014-11-01,39703.0,1098.7,14.22,147533.0,907.7,26.78,97769.0,138.8,30.65,124440.0,122.7,25.44,188612.0,897.8,24.78,37360.0,323.7,20.91,106201.0,223.2,30.66,121120.0,329.5,33.5,77408.0,312.1,24.69,41409.0,10.5,37.43
2014-12-01,39872.0,951.3,14.11,146896.0,1474.6,27.11,97523.0,186.4,30.82,124463.0,99.3,25.6,192283.0,779.0,24.89,37410.0,474.8,21.52,105632.0,216.8,31.14,121102.0,260.6,33.8,78599.0,279.8,24.41,40802.0,12.3,38.51
2015-01-01,39640.0,1036.9,14.39,145234.0,1762.3,27.88,98073.0,216.9,30.83,124739.0,145.0,25.49,190061.0,1111.6,24.85,37304.0,445.0,21.37,105125.0,275.5,31.16,121302.0,248.4,33.7,78073.0,505.5,24.66,40986.0,106.4,39.13
2015-02-01,39353.0,937.7,14.31,143601.0,1959.1,27.98,98210.0,131.0,30.8,125146.0,166.4,25.69,187983.0,1177.1,24.95,37342.0,540.5,21.1,104696.0,220.1,30.98,121587.0,255.2,34.2,77595.0,687.1,24.31,42136.0,179.1,38.89
2015-03-01,39330.0,1129.3,14.21,141845.0,1972.0,27.94,97985.0,143.6,30.79,125336.0,169.8,25.55,189846.0,1381.8,25.12,37363.0,321.2,21.49,104312.0,297.2,31.0,121902.0,278.0,34.5,78242.0,553.6,25.06,42123.0,23.6,37.25
2015-04-01,39793.0,1148.7,14.31,141345.0,1728.9,27.98,98289.0,97.6,31.29,125717.0,130.8,25.7,189441.0,1185.0,25.11,37398.0,346.0,21.61,104044.0,238.5,31.61,121991.0,279.6,34.96,78276.0,588.6,24.71,41355.0,32.0,37.62
2015-05-01,39925.0,911.9,14.28,142155.0,1301.7,27.69,97571.0,321.2,31.37,125739.0,204.3,25.71,189170.0,611.4,24.91,37337.0,441.1,22.16,103884.0,233.5,31.97,121955.0,235.8,34.85,78392.0,518.0,24.57,40799.0,144.4,37.53
2015-06-01,40199.0,761.0,14.21,141315.0,887.2,27.39,98036.0,289.7,31.5,125819.0,187.3,25.71,187252.0,544.4,24.82,37320.0,255.8,22.06,103671.0,325.7,31.52,122073.0,194.3,34.06,78924.0,229.7,24.25,40764.0,38.6,37.57
2015-07-01,40276.0,651.4,14.17,140963.0,899.7,27.45,97865.0,921.5,32.36,126100.0,153.9,25.69,187659.0,628.9,24.71,37260.0,239.6,21.56,103673.0,142.9,31.38,122206.0,252.4,33.42,79563.0,309.9,25.08,40253.0,0.0,37.03
2015-08-01,40157.0,561.6,14.15,141100.0,801.4,27.42,96722.0,1722.3,32.54,126181.0,210.0,26.04,191195.0,543.4,24.64,37153.0,247.0,21.97,103950.0,199.3,31.6,122181.0,188.0,33.07,79983.0,329.9,25.33,40186.0,0.0,37.09
2015-09-01,40027.0,609.7,14.38,139740.0,909.3,27.84,97378.0,243.8,32.42,126285.0,173.4,26.1,188907.0,723.0,25.05,37098.0,194.7,22.09,103651.0,227.1,31.82,122285.0,230.8,33.84,79674.0,270.4,25.52,39793.0,8.7,37.22
2015-10-01,40284.0,759.2,14.28,139315.0,834.2,27.92,97133.0,90.5,31.99,126809.0,148.1,26.31,188461.0,604.1,24.98,37138.0,305.8,22.17,103971.0,279.9,31.21,122431.0,285.9,33.37,79629.0,416.9,24.96,39240.0,10.4,36.99
2015-11-01,40248.0,996.4,14.32,139174.0,1053.5,28.07,97024.0,101.6,32.42,127025.0,97.3,26.25,188674.0,858.9,25.31,37068.0,318.6,21.73,104325.0,226.5,31.62,122418.0,586.6,33.67,80452.0,432.2,24.98,39660.0,7.7,37.55
2015-12-01,40468.0,713.3,14.5,138325.0,1763.0,28.56,97394.0,84.2,31.81,127248.0,95.3,26.38,189099.0,710.4,25.48,37087.0,355.2,21.81,104666.0,236.9,31.86,122617.0,406.4,33.53,80337.0,408.0,25.49,39161.0,22.9,37.37
2016-01-01,40753.0,853.2,14.47,138113.0,1853.2,28.42,97508.0,95.7,31.99,127755.0,140.1,26.47,191380.0,894.6,25.57,36933.0,382.3,21.69,104968.0,494.0,32.04,123015.0,488.4,33.98,80327.0,412.3,25.11,40415.0,122.6,36.14
2016-02-01,41020.0,949.8,14.24,136865.0,2027.2,28.68,97750.0,107.9,32.34,128114.0,125.0,26.46,189452.0,1147.2,25.52,36745.0,577.9,22.05,105302.0,200.7,32.63,123349.0,448.7,34.95,80776.0,645.7,25.02,40603.0,48.8,36.11
2016-03-01,41109.0,949.3,14.12,135141.0,2099.4,29.06,98024.0,151.2,32.15,128472.0,173.6,26.52,188450.0,1223.9,25.47,36628.0,556.5,22.11,105735.0,191.4,33.13,123525.0,343.1,35.23,79884.0,530.6,24.59,40781.0,3.5,36.18
2016-04-01,41192.0,1015.4,14.18,135852.0,1926.7,29.1,98107.0,92.3,32.32,128497.0,174.9,26.7,189273.0,869.8,25.17,36511.0,484.2,22.1,105548.0,206.9,32.93,123827.0,257.4,35.11,79613.0,499.8,25.36,41500.0,42.1,36.57
2016-05-01,40986.0,817.6,14.16,133478.0,1157.1,28.45,98187.0,211.0,32.21,128809.0,141.5,26.55,186494.0,563.4,24.85,36526.0,477.9,22.04,106290.0,288.1,32.98,124631.0,369.1,34.33,79772.0,502.4,25.39,40864.0,20.2,35.9
2016-06-01,41201.0,694.6,14.27,132333.0,994.0,28.71,98185.0,156.5,32.31,129038.0,156.3,26.35,188721.0,446.4,25.13,36501.0,233.4,21.56,106406.0,321.6,32.95,124775.0,188.2,34.5,80062.0,394.1,24.93,42263.0,0.0,36.42
2016-07-01,41491.0,535.1,14.28,132932.0,963.3,28.24,98090.0,805.5,33.47,129324.0,145.9,26.52,189012.0,725.4,25.04,36514.0,313.2,21.39,106675.0,314.0,33.57,124421.0,246.7,34.61,80484.0,354.6,25.11,41791.0,3.6,36.97
2016-08-01,41513.0,515.0,14.19,132285.0,731.7,28.07,98114.0,1802.4,33.17,129563.0,147.1,26.51,189035.0,844.5,25.22,36597.0,353.8,21.97,106992.0,287.3,33.19,124529.0,381.0,34.37,81858.0,527.4,25.49,43099.0,3.1,38.59
2016-09-01,41389.0,586.7,14.52,133275.0,765.5,28.33,98491.0,238.0,33.0,129599.0,189.4,26.64,189248.0,795.7,25.29,36661.0,316.4,22.78,107490.0,224.1,32.97,124721.0,310.8,34.91,81843.0,305.6,25.08,42222.0,14.7,39.4
2016-10-01,40953.0,645.1,14.37,133566.0,846.0,28.11,98704.0,159.6,32.83,129564.0,188.2,26.7,186934.0,789.2,25.27,36684.0,270.5,22.55,107522.0,270.7,33.32,124459.0,248.7,34.81,82076.0,353.4,25.34,41885.0,189.8,38.91
2016-11-01,41003.0,1085.0,14.54,134397.0,1131.6,28.06,98866.0,121.4,32.75,129539.0,136.2,26.54,189296.0,946.7,25.33,36804.0,342.5,22.67,107736.0,204.0,33.25,124506.0,398.8,35.05,82457.0,265.0,25.61,40139.0,3.8,39.34
2016-12-01,40218.0,1124.4,14.54,134539.0,1198.9,28.08,98902.0,104.7,32.89,129366.0,153.0,26.68,190249.0,840.4,25.49,36960.0,368.8,22.67,107972.0,190.8,32.81,124582.0,201.4,35.12,82644.0,406.4,26.02,41562.0,4.6,39.39
2017-01-01,41267.0,937.4,14.58,135434.0,1611.8,28.1,98613.0,153.8,32.47,129385.0,157.5,26.67,191055.0,1396.9,25.52,37259.0,669.3,22.48,107819.0,207.7,32.3,125201.0,278.2,35.05,83851.0,439.7,25.92,41339.0,54.4,39.97
2017-02-01,40840.0,956.9,14.91,136210.0,1791.7,28.37,98948.0,66.2,32.49,129549.0,131.4,26.88,189989.0,1183.3,25.44,37494.0,484.7,22.03,108681.0,258.6,32.63,125487.0,152.7,35.52,84254.0,474.9,25.63,41145.0,26.8,40.19
2017-03-01,40854.0,959.2,15.02,136676.0,1860.5,28.41,99042.0,113.8,32.45,129737.0,221.6,26.81,191388.0,1054.5,25.45,37555.0,361.5,21.94,109116.0,252.8,32.02,125699.0,156.2,35.56,84515.0,450.1,25.69,41932.0,0.0,40.51
2017-04-01,41307.0,1008.4,15.05,138278.0,1873.2,28.68,99184.0,108.9,32.13,129954.0,206.0,27.12,192222.0,981.1,25.27,37781.0,457.2,22.01,109605.0,244.2,32.16,125684.0,131.3,35.69,85780.0,542.5,25.39,41225.0,0.0,41.82
2017-05-01,41436.0,746.1,15.09,137033.0,1033.2,28.28,99295.0,335.1,31.88,130194.0,186.5,27.15,193640.0,537.9,24.97,37924.0,528.4,21.87,110245.0,268.3,32.08,125871.0,205.6,35.05,86220.0,303.9,25.49,41905.0,0.0,39.85
2017-06-01,41797.0,579.0,14.93,139218.0,846.2,28.19,99556.0,330.3,32.08,130493.0,193.8,27.08,193882.0,417.2,25.4,38115.0,345.1,22.04,110316.0,179.0,32.19,126256.0,157.0,34.54,86722.0,203.2,25.27,41691.0,29.5,38.34
2017-07-01,41836.0,518.7,15.01,139808.0,747.8,28.23,99637.0,1039.2,33.56,130786.0,146.8,27.1,193199.0,682.0,25.33,38200.0,322.7,21.93,110494.0,346.1,32.65,126771.0,108.3,33.78,86055.0,313.7,25.57,41847.0,35.6,39.4
2017-08-01,41978.0,585.7,14.97,140122.0,675.5,28.56,100015.0,1809.9,33.9,130944.0,181.4,27.18,191194.0,580.0,25.48,38314.0,385.3,22.71,110498.0,233.5,32.66,127227.0,108.1,34.2,86355.0,396.8,25.9,41920.0,90.6,39.38
2017-09-01,42100.0,417.8,14.98,141395.0,646.2,29.29,100459.0,315.5,33.0,131104.0,146.4,27.45,191049.0,561.4,25.52,38391.0,429.4,22.83,110887.0,230.4,33.66,127645.0,241.1,35.42,86806.0,133.0,25.89,42742.0,37.1,39.26
2017-10-01,41825.0,580.3,15.03,142684.0,781.8,29.26,100388.0,104.0,32.74,131095.0,108.5,27.23,192745.0,603.4,25.64,38373.0,230.8,22.9,110585.0,186.8,33.51,127640.0,141.8,35.59,86170.0,115.4,26.32,41716.0,6.2,39.75
2017-11-01,42009.0,791.6,15.03,143005.0,1012.4,29.31,100720.0,131.1,33.05,131346.0,193.7,27.54,195609.0,470.4,25.77,38377.0,217.1,22.57,110892.0,241.7,34.05,127661.0,337.8,35.85,87182.0,170.7,26.21,42446.0,35.6,39.84
2017-12-01,41735.0,943.3,15.06,142877.0,1192.7,29.13,101287.0,130.7,33.1,131845.0,93.6,27.51,195672.0,670.4,25.67,38421.0,158.8,22.83,111906.0,244.8,34.11,127662.0,157.6,36.38,86926.0,216.8,26.36,43096.0,1.2,40.07
2018-01-01,41854.0,807.7,15.32,142560.0,1668.7,29.07,101650.0,101.3,32.7,132265.0,94.0,27.39,196495.0,937.4,25.94,38384.0,191.9,22.97,111816.0,170.8,33.74,127955.0,383.6,36.78,87468.0,738.2,26.56,42774.0,38.2,41.35
2018-02-01,42018.0,786.3,15.44,144400.0,1763.6,29.39,101736.0,83.9,32.81,132572.0,67.0,27.43,196890.0,961.4,26.09,38369.0,215.3,22.8,112369.0,212.7,33.56,128222.0,521.5,36.74,88391.0,519.9,26.31,41711.0,9.9,41.59
2018-03-01,41957.0,900.3,15.57,144376.0,1708.3,29.18,101936.0,124.9,32.61,132974.0,183.3,27.45,198060.0,983.0,26.05,38308.0,254.4,23.01,112895.0,157.2,33.49,128616.0,295.0,36.94,88382.0,510.0,26.77,41755.0,45.5,41.23
2018-04-01,41981.0,913.7,15.7,143878.0,1680.3,28.89,102235.0,228.9,33.04,133462.0,90.4,27.33,197810.0,933.0,26.13,38295.0,229.0,23.34,113073.0,155.4,33.01,129070.0,262.5,36.7,88123.0,626.8,26.85,42045.0,2.7,41.72
2018-05-01,42245.0,561.7,15.73,144946.0,1152.3,28.59,102433.0,321.6,33.47,133942.0,181.4,27.61,196833.0,503.9,26.49,38384.0,176.1,23.54,113257.0,220.4,33.11,129668.0,245.9,36.37,88735.0,355.6,26.45,41864.0,0.0,41.75
2018-06-01,42431.0,550.8,15.72,143908.0,796.1,28.63,102629.0,320.8,33.33,134476.0,225.9,27.64,200055.0,391.2,26.41,38361.0,190.9,23.82,113554.0,140.8,33.09,130001.0,137.9,35.94,88801.0,376.5,26.66,42132.0,5.3,41.63
2018-07-01,42867.0,536.3,15.74,142742.0,717.5,28.47,102736.0,1069.3,33.92,134919.0,138.7,27.29,199757.0,388.6,26.03,38523.0,269.7,23.67,113869.0,173.5,32.77,130425.0,55.1,35.66,89151.0,338.4,27.17,43128.0,1.0,40.38
2018-08-01,42791.0,508.5,15.99,141784.0,674.2,28.55,102900.0,1818.0,33.99,135235.0,164.0,27.54,198500.0,448.9,26.21,38543.0,274.5,23.88,114118.0,196.0,32.96,130765.0,161.3,35.39,89061.0,378.5,26.44,43280.0,44.7,41.12
2018-09-01,42884.0,541.5,16.01,140551.0,557.1,28.85,103072.0,204.3,33.54,135633.0,132.8,27.55,199487.0,628.7,26.47,38510.0,335.7,23.45,114320.0,168.5,33.65,130837.0,262.9,36.07,89816.0,269.8,26.15,43258.0,14.9,40.92
2018-10-01,43017.0,668.8,16.03,139696.0,629.4,29.04,103114.0,131.8,33.45,135950.0,144.0,27.45,199780.0,549.1,26.49,38628.0,298.7,23.57,114966.0,170.3,33.98,131203.0,344.6,36.36,89570.0,170.0,26.44,43455.0,2.4,40.1
2018-11-01,42962.0,720.6,16.16,139119.0,838.3,29.11,103253.0,92.0,33.49,136314.0,156.6,27.46,198364.0,672.3,26.71,38730.0,257.1,23.12,115474.0,142.5,33.86,131417.0,248.5,36.46,89221.0,171.4,26.21,43418.0,1.0,39.42
2018-12-01,43317.0,823.7,16.38,138944.0,1151.2,29.47,103350.0,145.2,33.52,136822.0,177.9,27.51,197437.0,892.7,26.65,38833.0,220.7,23.21,116693.0,132.2,33.88,131629.0,424.9,36.58,89601.0,224.6,26.33,42920.0,38.9,40.19
2019-01-01,43022.0,843.9,16.61,139478.0,1591.5,30.27,103741.0,135.5,33.5,137082.0,134.5,27.43,199090.0,944.5,26.77,38921.0,353.5,23.36,116771.0,253.6,34.68,132265.0,332.1,36.89,89766.0,398.1,26.29,43324.0,1.0,41.63
2019-02-01,43177.0,773.1,16.46,139393.0,1722.3,30.28,103956.0,237.1,33.23,137371.0,166.5,27.47,198200.0,929.0,27.51,38963.0,279.8,23.33,117187.0,227.8,35.19,132409.0,298.0,37.16,88501.0,323.1,27.07,44068.0,1.3,41.55
2019-03-01,43164.0,835.9,16.31,140621.0,1710.0,30.44,104469.0,136.5,33.55,137397.0,150.7,27.53,200520.0,849.9,27.41,38891.0,230.2,23.44,116912.0,186.6,34.94,132630.0,128.8,37.09,89723.0,275.4,27.07,42947.0,6.2,41.12
2019-04-01,43351.0,914.7,16.43,139901.0,1189.4,30.23,104570.0,154.0,33.96,137686.0,140.1,27.66,198510.0,1009.0,27.43,38924.0,282.5,23.49,117554.0,231.9,35.07,132772.0,234.4,37.27,90240.0,242.3,26.99,42685.0,2.9,41.72
2019-05-01,43415.0,701.9,16.14,141448.0,864.6,29.96,104683.0,402.5,33.96,138123.0,157.7,27.74,200754.0,653.2,27.23,38956.0,299.0,23.78,117567.0,224.1,35.03,133077.0,397.6,37.17,90666.0,322.6,27.34,42633.0,3.0,40.85
2019-06-01,43713.0,541.9,16.33,142899.0,644.8,29.94,104666.0,410.6,34.0,138729.0,207.4,28.21,198632.0,444.3,27.61,38960.0,144.6,23.48,118222.0,184.3,34.79,133130.0,258.8,37.18,90442.0,120.1,26.94,42769.0,29.3,42.37
2019-07-01,43598.0,489.8,16.35,144238.0,668.5,29.85,105276.0,1021.3,36.0,139240.0,172.8,27.86,196745.0,588.8,27.4,39051.0,247.3,23.6,119386.0,195.9,34.95,133417.0,103.1,37.19,90305.0,273.5,27.16,42864.0,24.4,42.81
2019-08-01,43592.0,580.8,16.45,143421.0,513.3,29.81,105204.0,1900.9,35.93,139627.0,220.5,27.77,197314.0,567.2,27.29,38995.0,325.4,23.87,120047.0,202.1,34.47,133588.0,130.5,36.89,90118.0,302.8,26.82,42317.0,36.8,43.36
2019-09-01,43801.0,579.8,16.71,143320.0,484.5,30.53,105443.0,165.9,34.67,139899.0,210.4,28.11,196921.0,600.5,27.67,39007.0,264.5,24.33,120456.0,119.1,34.54,133494.0,208.2,37.88,88934.0,244.8,26.91,42604.0,0.0,45.22
2019-10-01,43685.0,564.4,16.7,142776.0,521.5,30.87,105304.0,135.7,34.35,140161.0,183.6,28.4,195927.0,770.3,27.96,38970.0,202.0,24.21,120826.0,160.1,35.16,133732.0,136.9,37.9,89650.0,279.3,27.26,43209.0,1.2,43.95
2019-11-01,43827.0,854.8,16.67,142785.0,722.5,31.11,105346.0,137.8,34.22,140528.0,168.8,28.21,195938.0,709.9,27.81,38986.0,182.9,24.32,121375.0,158.9,35.35,133920.0,430.0,38.41,89001.0,381.5,27.35,43575.0,15.5,44.5
2019-12-01,43835.0,517.4,16.78,143696.0,901.2,30.77,105350.0,87.5,33.89,141041.0,79.9,28.06,195313.0,632.6,27.77,38908.0,246.4,24.7,121313.0,141.1,35.38,134494.0,361.1,38.7,90314.0,583.8,27.47,42969.0,17.9,44.84
2020-01-01,44047.0,872.0,16.85,144717.0,1521.5,31.36,105523.0,95.6,34.45,141612.0,106.1,28.39,193130.0,963.2,28.04,38812.0,313.5,25.27,121961.0,164.0,35.96,135378.0,288.4,39.0,89058.0,286.5,27.37,42596.0,10.6,43.17
2020-02-01,43693.0,958.5,16.8,145766.0,1459.2,31.05,105387.0,112.8,34.84,141912.0,145.6,28.41,194951.0,843.0,28.1,38771.0,303.5,25.22,122500.0,157.9,36.16,136300.0,484.4,39.3,88063.0,352.8,28.12,43034.0,45.9,43.73
2020-03-01,28207.0,2103.3,16.87,140381.0,1642.0,31.59,95390.0,619.9,35.39,125767.0,376.2,28.66,179997.0,1082.4,28.37,33317.0,648.0,25.49,109810.0,245.3,36.63,130806.0,509.6,39.5,77594.0,613.2,27.57,42320.0,2.7,46.45
2020-04-01,16012.0,3904.8,17.36,111056.0,2703.0,31.56,86889.0,1025.6,36.49,113582.0,749.1,29.54,141367.0,1959.4,29.85,24037.0,2071.5,27.07,106628.0,755.6,38.1,128340.0,757.5,40.36,60030.0,1501.4,28.92,41556.0,192.1,45.28
2020-05-01,19239.0,3907.7,17.36,129445.0,1945.8,31.33,93549.0,1250.6,36.82,117482.0,836.7,29.84,153832.0,1416.7,29.16,27319.0,1886.1,26.84,108388.0,735.1,37.8,129471.0,1020.7,39.54,60843.0,1761.2,28.98,41734.0,267.5,44.87
2020-06-01,24561.0,3100.3,16.93,139822.0,1240.8,30.96,95279.0,1474.4,36.55,126515.0,412.7,29.29,175052.0,960.5,28.8,30213.0,1041.4,26.31,111542.0,910.3,37.98,132144.0,1054.2,39.19,66283.0,1297.1,28.06,42296.0,24.7,43.12
2020-07-01,28931.0,2056.2,16.89,137048.0,1204.1,30.65,98000.0,1665.3,37.54,131075.0,397.0,29.28,183430.0,922.1,28.93,32806.0,836.5,25.84,114453.0,848.7,37.17,133094.0,273.6,38.96,69946.0,1052.9,28.69,43403.0,1.2,44.07
2020-08-01,31045.0,1626.6,17.01,138148.0,861.4,30.68,100288.0,2897.3,37.07,133374.0,358.7,29.17,185618.0,778.6,28.95,33830.0,734.8,25.86,116346.0,584.0,37.37,133502.0,267.2,39.03,69461.0,1062.9,27.71,42558.0,1.1,43.68
2020-09-01,30808.0,1208.6,17.08,137370.0,682.2,31.14,101560.0,533.2,35.77,134867.0,297.0,29.48,187348.0,804.0,28.54,34596.0,710.4,27.0,118052.0,444.3,37.29,134398.0,281.0,38.56,70355.0,608.9,28.16,41648.0,1.2,43.08
2020-10-01,29225.0,1426.9,17.52,138846.0,816.7,31.09,102307.0,327.5,35.51,136090.0,291.8,29.5,186379.0,794.5,28.84,34747.0,728.9,26.9,119410.0,491.5,36.44,134948.0,187.1,39.0,71374.0,725.3,28.34,42007.0,0.0,44.67
2020-11-01,29251.0,1688.9,17.26,138918.0,1021.1,31.0,102569.0,248.9,35.72,137049.0,191.9,29.31,189511.0,590.3,28.57,34762.0,759.0,26.19,120178.0,307.3,36.51,134689.0,438.7,38.91,72382.0,760.1,27.68,41500.0,3.7,45.25
